File,Lines,Words,KeywordMatches
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.Commands.Client.Services.RemotableCommandService.VNDO.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.ContextRuleMonitorService.0.1.BrokeredClient.YKTG.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.ContextRuleMonitorService.0.1.BrokeredService.VOPR.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.Extensibility.ExtensionMetadataService.0.3.BrokeredClient.EAXW.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.Extensibility.ExtensionMetadataService.0.3.BrokeredService.OYZP.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.Extensibility.ExtensionResourceDictionaryService.0.1.BrokeredClient.NHDA.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.Extensibility.ExtensionResourceDictionaryService.0.1.BrokeredService.ALXE.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.FileSystem.1.4.BrokeredClient.UNZN.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.FileSystem.1.4.BrokeredService.ZEXL.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.GlobalBrokeredServiceContainer.DXDK.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.Platform.WindowManagement.RemoteWindowManager.MXGT.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS2D637385.Microsoft.VisualStudio.RpcContracts.Extensibility.IExtensionMetadataService.HLOG.svclog,0,0,0
